cid,satoshis,nodeA,nodeB,base_fee,relative_fee
0,2000000,0,3,10,1
1,2000000,0,5,10,1
2,2000000,1,3,10,1
3,2000000,1,12,10,1
4,2000000,1,9,10,1
5,2000000,2,5,10,1
6,2000000,2,10,10,1
7,2000000,2,3,10,1
8,2000000,2,11,10,1
9,2000000,3,5,10,1
10,2000000,3,9,10,1
11,2000000,3,12,10,1
12,2000000,3,8,10,1
13,2000000,3,7,10,1
14,2000000,3,13,10,1
15,2000000,3,10,10,1
16,2000000,3,4,10,1
17,2000000,4,5,10,1
18,2000000,4,13,10,1
19,2000000,4,6,10,1
20,2000000,4,7,10,1
21,2000000,5,14,10,1
22,2000000,5,10,10,1
23,2000000,5,6,10,1
24,2000000,5,7,10,1
25,2000000,5,13,10,1
26,2000000,5,11,10,1
27,2000000,6,11,10,1
28,2000000,7,11,10,1
29,2000000,11,14,10,1
