cid,satoshis,nodeA,nodeB,base_fee,relative_fee
0,2000000,0,14,10,1
1,2000000,0,8,10,1
2,2000000,0,10,10,1
3,2000000,0,18,10,1
4,2000000,0,7,10,1
5,2000000,1,13,10,1
6,2000000,1,9,10,1
7,2000000,1,11,10,1
8,2000000,1,17,10,1
9,2000000,2,14,10,1
10,2000000,2,17,10,1
11,2000000,3,14,10,1
12,2000000,3,5,10,1
13,2000000,3,9,10,1
14,2000000,3,18,10,1
15,2000000,4,14,10,1
16,2000000,5,14,10,1
17,2000000,6,14,10,1
18,2000000,7,14,10,1
19,2000000,7,8,10,1
20,2000000,8,14,10,1
21,2000000,8,18,10,1
22,2000000,9,13,10,1
23,2000000,9,14,10,1
24,2000000,9,16,10,1
25,2000000,9,11,10,1
26,2000000,10,14,10,1
27,2000000,10,18,10,1
28,2000000,11,13,10,1
29,2000000,11,14,10,1
30,2000000,12,14,10,1
31,2000000,13,14,10,1
32,2000000,13,17,10,1
33,2000000,13,16,10,1
34,2000000,14,15,10,1
35,2000000,14,18,10,1
36,2000000,14,17,10,1
37,2000000,14,16,10,1
