cid,satoshis,nodeA,nodeB,base_fee,relative_fee
0,2000000,0,16,10,1
1,2000000,0,1,10,1
2,2000000,1,16,10,1
3,2000000,2,5,10,1
4,2000000,2,14,10,1
5,2000000,2,13,10,1
6,2000000,2,12,10,1
7,2000000,3,16,10,1
8,2000000,3,4,10,1
9,2000000,4,16,10,1
10,2000000,4,11,10,1
11,2000000,4,18,10,1
12,2000000,5,16,10,1
13,2000000,5,6,10,1
14,2000000,5,10,10,1
15,2000000,5,13,10,1
16,2000000,5,12,10,1
17,2000000,5,7,10,1
18,2000000,5,14,10,1
19,2000000,6,10,10,1
20,2000000,7,13,10,1
21,2000000,8,16,10,1
22,2000000,8,15,10,1
23,2000000,8,18,10,1
24,2000000,9,16,10,1
25,2000000,10,16,10,1
26,2000000,10,12,10,1
27,2000000,11,16,10,1
28,2000000,12,14,10,1
29,2000000,12,13,10,1
30,2000000,13,16,10,1
31,2000000,13,15,10,1
32,2000000,15,16,10,1
33,2000000,15,18,10,1
34,2000000,15,17,10,1
35,2000000,16,17,10,1
36,2000000,16,18,10,1
37,2000000,17,18,10,1
